code,id,name,,,,,,,,
Online.Approved.2018.Summer.FDMAT108,467259,FDMAT 108 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.FDREL121,467046,FDREL 121 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.FDREL122,467055,FDREL 122 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.FDREL130,467191,FDREL 130 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.FDREL200,467067,FDREL 200 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.FDREL211,466749,FDREL 211 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.FDREL212,467232,FDREL 212 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.FDREL261,466988,FDREL 261 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.FDREL301,467019,FDREL 301 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.FDREL333,466721,FDREL 333 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.FDSCI101,467249,FDSCI 101 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.FDSCI201,467074,FDSCI 201 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.FDSCI201,469615,FDSCI 201 - P--B - Online Block Pilot,,,,,,,,
Online.Approved.2018.Summer.FDSCI203,467128,FDSCI 203 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.FDWLD101,466789,FDWLD 101 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.FDWLD201,466806,FDWLD 201 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.GS   111,466634,GS 111 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.LR   111,466676,LR 111 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.MATH 111,466580,MATH 111 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.MATH 221B,467095,MATH 221B - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.PSYCH112,467066,PSYCH 112 - R--B - Online Block Reference,,,,,,,,
Online.Approved.2018.Summer.WDD  100,467179,WDD 100 - R--B - Online Block Reference,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,  
