Course Name,Course ID,URL Before Change,Verified New URL,Verified Start Date,Verified Due Date,Errors
B 215 - R--- - Online Reference,31319,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 240 - R--- - Online Reference,16184,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 241 - R--- - Online Reference,101156,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 250 - R--- - Online Reference,16178,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 275 - R--- - Online Reference,21582,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 283 - R--- - Online Reference,16185,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 301 - R--- - Online Reference,16197,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 320 - R--- - Online Reference,106952,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 321 - R--- - Online Reference,16202,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 341 - R--- - Online Reference,16192,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 361 - R--- - Online Reference,16204,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 374 - R--- - Online Reference,100941,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 380 - R--- - Online Reference,16152,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 383 - R--- - Online Reference,16205,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 410 - R--- - Online Reference,23800,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 411 - D--- - Online Development,17584,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 424 - R--- - Online Reference,16154,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 424D - R--- - Online Reference,16211,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 428 - R--- - Online Reference,23801,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 433 - R--- - Online Reference,17593,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 475 - R--- - Online Reference,53091,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 483 - R--- - Online Reference,68914,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
B 499E - D--- - Online Development,117483,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
BIO 180 - P--- - Online Pilot,280986,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
BIO 221 - R--- - Online Reference,67128,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
BIO 230 - R--- - Online Reference,17594,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
BIO 264 - R--- - Online Reference,118405,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
BIO 265 - R--- - Online Reference,118406,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
BIO 265 - P--- - Online Pilot,340011,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
BIO 475 - R--- - Online Reference,106292,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CHEM 101L - R--- - Online Reference,17595,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CHEM 105 - D--- - Online Development,276690,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CHILD 210 - R--- - Online Reference,16212,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CHILD 300 - R--- - Online Reference,288150,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CHILD 310 - R--- - Online Reference,263055,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CHILD 320 - R--- - Online Reference,16199,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CIT 111 - R--- - Online Reference,61381,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CIT 160 - R--- - Online Reference,171066,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CIT 225 - R--- - Online Reference,63194,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CIT 230 - R--- - Online Reference,32206,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CIT 240 - R--- - Online Reference,61928,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CIT 241 - R--- - Online Reference,67134,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CIT 261 - R--- - Online Reference,111890,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CIT 262 - P--- - Online Pilot,106277,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CIT 301C - D--- - 1 Online Development,17757,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CIT 325 - R--- - Online Reference,106278,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CIT 352 - R--- - Online Reference,106279,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CIT 353 - D--- - Online Development,336530,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CIT 360 - R--- - Online Reference,112004,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CIT 365 - R--- - Online Reference,289959,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
CIT 380 - R--- - Online Reference,111793,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
COMM 104 - D--- - Online Development,56772,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
COMM 111 - R--- - Online Reference,17602,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
COMM 125 - R--- - Online Reference,61065,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
COMM 130 - R--- - Online Reference,225324,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
COMM 140 - R--- - Online Reference,99481,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
COMM 150 - R--- - Online Reference,106281,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
COMM 175 - R--- - Online Reference,59656,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
COMM 250 - R--- - Online Reference,106282,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
COMM 273 - R--- - Online Reference,58372,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
COMM 280 - R--- - Online Reference,52555,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
COMM 300 - D--- - Online Development,30428,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
COMM 305 - D--- - Online Development,31331,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
COMM 307 - R--- - Online Reference,67140,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
COMM 310 - R--- - Online Reference,67126,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
COMM 315 - R--- - Online Reference,17603,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
COMM 322 - D--- - Online Development,17604,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,2018-12-08T07:00:00.000Z,2018-12-22T06:59:00.000Z,
