Course Name,Course ID,URL Before Change,Verified New URL,Verified Start Date,Verified Due Date,Verified Title,Errors
FDREL 211 - R--B - Online Block Reference,57723,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 212 - R--B - Online Block Reference,437968,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 261 - R--B - Online Block Reference,168354,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 301 - R--B - Online Block Reference,168750,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDREL 333 - R--B - Online Block Reference,56869,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDSCI 101 - R--B - Online Block Reference,439141,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDSCI 201 - P--B - Online Block Pilot,282206,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDSCI 203 - R--B - Online Block Reference,285935,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDWLD 101 - R--B - Online Block Reference,63425,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
FDWLD 201 - R--B - Online Block Reference,63447,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
GS 111 - R--B - Online Block Reference,19548,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
INTST 100 - D--B - Online Block Course,338519,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
LR 111 - R--B - Online Block Reference,19555,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
MATH 111 - R--B - Online Block Reference,17612,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
MATH 221A - R--B - Online Block Reference,56896,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
MATH 221B - R--B - Online Block Reference,282453,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
MATH 221C - R--B - Online Block Reference,282454,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
PSYCH 112 - R--B - Online Block Reference,275148,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
WDD 100 - R--B - Online Block Reference,390395,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 100 - R--B - Online Block Reference,467317,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 101 - R--B - Online Block Reference,466827,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 183 - R--B - Online Block Reference,466770,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 211 - R--B - Online Block Reference,466738,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
B 320 - R--B - Online Block Reference,467073,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
CIT 110 - R--B - Online Block Reference,466934,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
CIT 160 - R--B - Online Block Reference,466958,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
COMM 289 - R--B - Online Block Reference,467158,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
COMM 497R - R--B - Online Block Reference,466689,https://web.byui.edu/endofcourseevaluation/,https://web.byui.edu/endofcourseevaluation/,2018-10-27T06:00:00.000Z,2018-11-03T05:59:00.000Z,Course Evaluation,
