Course Name,Course ID,Module ID,Module Item ID,URL Before Change,Verified New URL,Link to Module Item
Zachary Williams - Sandbox,12940,143538,861117,http://abish.byui.edu/berg/evaluation/select.cfm,https://web.byui.edu/endofcourseevaluation/,https://byui.instructure.com/courses/12940/modules#module_143538
Seth Childers - Sandbox,12971,,,,,
